Date,Day_of_the_week,App (Use all CAPITALS),Minutes,Category
8/30/2023,Wednesday,TIKTOK,113,Social Media
8/30/23,Wednesday,YOUTUBE,26,Entertainment
8/30/23,Wednesday,MESSAGES,18,Social Media
8/30/23,Wednesday,INSTAGRAM,16,Social Media
8/30/23,Wednesday,X,7,Social Media
8/31/23,Thursday,TIKTOK,215,Social Media
8/31/23,Thursday,INSTAGRAM,78,Social Media
8/31/23,Thursday,TWITCH,58,Entertainment
8/31/23,Thursday,YOUTUBE,35,Entertainment
8/31/23,Thursday,SPOTIFY,31,Entertainment
9/1/23,Friday,YOUTUBE,138,Entertainment
9/1/23,Friday,TIKTOK,113,Social Media
9/1/23,Friday,SAFARI,43,Other
9/1/23,Friday,SPOTIFY,10,Entertainment
9/1/23,Friday,INSTAGRAM,6,Social Media
